Plant_Name,Temperature_Range(°C),Humidity_Range(%),NPK_Required(mg/kg),Fertilizer_Used,Fertilizer_Bags_per_ha,Fertilizer_Bags_per_sqm,Fertilizer_Bags_per_acre
Strawberry,21-29,62-82,130-65-85,Compost,28.52,0.1435,3.68
Bell Pepper,18-25,50-70,120-60-80,NPK 20-20-20,10.27,0.1963,11.42
Tomato,20-Dec,60-80,140-70-90,Urea,28.77,0.2642,11.13
Zucchini,16-24,50-70,140-70-90,MOP,8.67,0.1135,9.4
Spinach,21-29,58-78,105-52-72,Vermicompost,10.67,0.0742,9.41
Eggplant,18-Oct,58-78,95-45-65,Ammonium Sulphate,25.79,0.1938,2.81
Spinach,15-22,55-75,110-55-75,Superphosphate,22.24,0.1581,5.24
Eggplant,18-25,53-77,105-52-72,Compost,21.18,0.2522,9.25
Carrot,18-25,45-65,125-62-82,Urea,22.73,0.257,4.11
Cucumber,19-26,65-85,130-65-85,Compost,6.34,0.0955,6.77
Zucchini,19-26,58-78,110-55-75,NPK 20-20-20,11.75,0.1504,6.5
Carrot,20-28,50-72,95-45-65,NPK 20-20-20,10.14,0.0932,4.03
Strawberry,19-26,50-70,105-52-72,NPK 20-20-20,12.72,0.1463,8.07
Strawberry,18-25,65-85,110-55-75,Compost,5.35,0.2854,5.22
Carrot,18-25,60-80,130-65-85,NPK 20-20-20,26.8,0.2555,3.54
Cucumber,18-Oct,50-72,90-40-60,Compost,28.78,0.2689,5.67
Spinach,20-28,58-78,120-60-80,Superphosphate,26.31,0.0964,11.94
Bell Pepper,22-30,65-85,130-65-85,Urea,7.99,0.081,2.82
Bell Pepper,18-Oct,45-65,130-65-85,NPK 20-20-20,19.02,0.1432,6.25
Tomato,20-28,62-82,135-68-88,DAP,28.89,0.265,7.51
Carrot,16-24,50-72,100-50-70,Superphosphate,7.94,0.1192,10.02
Eggplant,22-30,65-85,105-52-72,MOP,20.83,0.1348,2.77
Strawberry,14-22,62-82,105-52-72,Ammonium Sulphate,21.91,0.2408,2.75
Broccoli,19-26,50-70,105-52-72,Urea,29.07,0.2381,8.57
Bell Pepper,22-30,50-72,130-65-85,Urea,18.64,0.0939,10.4
Lettuce,20-Dec,55-75,120-60-80,Vermicompost,26.51,0.0656,11.35
Zucchini,20-28,58-78,95-45-65,Ammonium Sulphate,19.39,0.2074,6.62
Tomato,19-26,60-80,125-62-82,Vermicompost,12.51,0.1939,11.84
Bell Pepper,16-24,50-70,130-65-85,Ammonium Sulphate,23.1,0.2298,4.73
Carrot,14-22,65-85,135-68-88,MOP,22.65,0.1199,2.13
Carrot,19-26,60-80,110-55-75,Urea,8.03,0.0935,5.31
Zucchini,19-26,62-82,110-55-75,NPK 20-20-20,8.58,0.1554,11.45
Cucumber,22-30,55-75,95-45-65,Superphosphate,10.63,0.1049,4.59
Tomato,18-Oct,58-78,140-70-90,NPK 20-20-20,8.55,0.1861,4.61
Strawberry,22-30,60-80,105-52-72,Vermicompost,7.5,0.2493,7.52
Lettuce,22-30,50-70,95-45-65,DAP,28.78,0.2439,6.42
Tomato,14-22,65-85,135-68-88,Ammonium Sulphate,22.57,0.1839,8.08
Broccoli,14-22,40-60,105-52-72,Urea,29.15,0.1685,6.72
Eggplant,16-24,53-77,130-65-85,Compost,25.25,0.1789,8.7
Strawberry,19-26,45-65,110-55-75,MOP,21.33,0.1166,8.35
Lettuce,20-28,45-65,120-60-80,Superphosphate,15,0.0977,7.61
Broccoli,22-30,58-78,140-70-90,Ammonium Sulphate,29.6,0.2244,3.48
Carrot,15-22,58-78,125-62-82,Compost,11.88,0.2461,3.64
Tomato,20-28,53-77,100-50-70,Urea,17.04,0.2844,9.54
Eggplant,22-30,40-60,100-50-70,Compost,12.06,0.1234,5.16
Zucchini,21-29,40-60,120-60-80,NPK 20-20-20,22.02,0.177,4.2
Broccoli,20-28,45-65,140-70-90,DAP,16.7,0.2869,9.74
Strawberry,16-24,55-75,135-68-88,NPK 20-20-20,28.18,0.225,5.21
Eggplant,20-Dec,40-60,100-50-70,DAP,20.51,0.2326,8.33
Carrot,20-28,55-75,125-62-82,MOP,26.71,0.1041,8.99
Bell Pepper,19-26,53-77,135-68-88,Ammonium Sulphate,19.58,0.2991,11.43
Cucumber,20-Dec,53-77,100-50-70,NPK 20-20-20,24.04,0.1656,4.54
Strawberry,21-29,65-85,140-70-90,Urea,13.31,0.1259,6.01
Tomato,16-24,55-75,135-68-88,DAP,27.75,0.0933,4.03
Tomato,14-22,40-60,140-70-90,Urea,22.75,0.2859,10.44
Lettuce,20-28,58-78,140-70-90,Compost,24.88,0.1089,8.81
Carrot,14-22,55-75,110-55-75,Compost,28.79,0.2336,8.13
Cucumber,20-Dec,50-72,125-62-82,MOP,15.05,0.0616,5.78
Tomato,22-30,45-65,140-70-90,Ammonium Sulphate,28.99,0.1853,7.31
Bell Pepper,20-Dec,55-75,135-68-88,Compost,12.96,0.149,3.23
Tomato,21-29,55-75,125-62-82,Superphosphate,15.25,0.2723,11.57
Lettuce,18-Oct,60-80,90-40-60,Urea,15.85,0.2951,5.46
Cucumber,16-24,58-78,110-55-75,Compost,26.39,0.148,8.97
Broccoli,20-28,55-75,130-65-85,DAP,22.61,0.1222,3.22
Carrot,21-29,53-77,125-62-82,Compost,13.38,0.0614,7.47
Bell Pepper,22-30,55-75,135-68-88,MOP,27.8,0.2967,4.8
Strawberry,16-24,60-80,105-52-72,MOP,16.28,0.2859,9.33
Zucchini,18-Oct,53-77,135-68-88,Ammonium Sulphate,7.83,0.1777,4.02
Zucchini,16-24,53-77,135-68-88,Superphosphate,24.44,0.1166,4.73
Spinach,19-26,50-70,130-65-85,Compost,18.67,0.1991,11.66
Tomato,15-22,50-72,90-40-60,DAP,25.7,0.1275,2.15
Zucchini,16-24,62-82,90-40-60,MOP,9.5,0.2295,2.92
Strawberry,18-25,58-78,135-68-88,MOP,7.79,0.1002,2.54
Cucumber,20-Dec,58-78,105-52-72,Urea,8.97,0.2315,9.1
Broccoli,18-25,62-82,90-40-60,Vermicompost,17.73,0.1201,4.36
Tomato,16-24,60-80,100-50-70,NPK 20-20-20,29.34,0.0846,9.41
Lettuce,21-29,60-80,125-62-82,MOP,6.1,0.0713,5.05
Strawberry,16-24,58-78,130-65-85,Urea,15.25,0.0892,7.44
Carrot,15-22,40-60,105-52-72,DAP,15.92,0.2851,11.49
Broccoli,21-29,62-82,105-52-72,NPK 20-20-20,6.34,0.0541,3.09
Eggplant,21-29,50-70,105-52-72,Ammonium Sulphate,19.13,0.2473,2.05
Strawberry,18-Oct,55-75,105-52-72,Compost,24.63,0.1193,10.93
Lettuce,20-Dec,50-70,100-50-70,Ammonium Sulphate,28.33,0.085,9.82
Carrot,19-26,58-78,110-55-75,Urea,28.95,0.2355,7.46
Cucumber,22-30,53-77,135-68-88,Ammonium Sulphate,11.51,0.2367,6.41
Eggplant,22-30,53-77,125-62-82,Vermicompost,17.32,0.151,2.41
Eggplant,15-22,60-80,125-62-82,NPK 20-20-20,24.31,0.1201,11.1
Spinach,22-30,53-77,90-40-60,Ammonium Sulphate,28.15,0.2396,7.6
Broccoli,22-30,62-82,105-52-72,Superphosphate,26.65,0.2333,9.76
Strawberry,16-24,53-77,90-40-60,Urea,20.84,0.1308,11.38
Bell Pepper,20-28,45-65,100-50-70,Ammonium Sulphate,13.06,0.1974,6.74
Bell Pepper,14-22,50-72,105-52-72,Ammonium Sulphate,9.29,0.1735,7.56
Bell Pepper,19-26,50-70,110-55-75,DAP,10.73,0.2304,4.53
Broccoli,20-Dec,50-70,110-55-75,Compost,23.55,0.2602,4.65
Spinach,18-25,65-85,135-68-88,Vermicompost,17.96,0.2185,4.51
Spinach,15-22,60-80,100-50-70,Vermicompost,26.42,0.186,10.88
Spinach,15-22,50-72,135-68-88,DAP,28.76,0.2731,11.06
Lettuce,15-22,50-72,110-55-75,Superphosphate,25.82,0.1517,10.51
Tomato,18-Oct,45-65,135-68-88,NPK 20-20-20,23.05,0.2396,10.35
Bell Pepper,20-28,50-70,90-40-60,NPK 20-20-20,11.83,0.2878,4.72
Spinach,16-24,45-65,110-55-75,DAP,9.7,0.1605,7.3
Eggplant,20-28,58-78,110-55-75,DAP,25.45,0.2137,6.81
Cucumber,19-26,50-72,125-62-82,NPK 20-20-20,26.02,0.0756,7.53
Tomato,14-22,45-65,110-55-75,MOP,22.64,0.0761,11.15
Lettuce,14-22,50-72,125-62-82,MOP,6.1,0.0701,5.52
Cucumber,14-22,55-75,125-62-82,Superphosphate,7.51,0.1511,5.86
Eggplant,22-30,58-78,135-68-88,Vermicompost,9.05,0.2368,8.04
Cucumber,20-28,53-77,100-50-70,Vermicompost,23.42,0.075,7.1
Lettuce,18-Oct,50-72,130-65-85,Vermicompost,12.87,0.2743,8.05
Zucchini,20-Dec,62-82,105-52-72,Urea,22.11,0.1749,7.11
Strawberry,22-30,40-60,90-40-60,Vermicompost,11.4,0.2987,11.57
Tomato,22-30,62-82,130-65-85,DAP,17.82,0.1809,9.05
Zucchini,20-28,65-85,130-65-85,Ammonium Sulphate,25.05,0.1635,10.43
Cucumber,18-Oct,62-82,140-70-90,NPK 20-20-20,11.89,0.1423,7.88
Lettuce,18-Oct,45-65,110-55-75,Urea,10.9,0.2514,4.78
Strawberry,16-24,65-85,90-40-60,MOP,14.03,0.207,3.62
Lettuce,18-25,55-75,110-55-75,DAP,13.18,0.0692,2.72
Strawberry,22-30,60-80,125-62-82,Urea,27.12,0.2493,8.37
Carrot,19-26,60-80,110-55-75,NPK 20-20-20,18.16,0.2767,11.07
Strawberry,18-25,45-65,95-45-65,Vermicompost,27.76,0.1028,4.81
Lettuce,22-30,58-78,140-70-90,Superphosphate,13.45,0.0861,10.15
Eggplant,20-28,55-75,95-45-65,NPK 20-20-20,10.81,0.2478,10.3
Zucchini,18-Oct,62-82,130-65-85,NPK 20-20-20,17.81,0.1214,3.88
Eggplant,22-30,62-82,120-60-80,NPK 20-20-20,27.8,0.2781,8.49
Cucumber,20-Dec,58-78,130-65-85,Superphosphate,5.16,0.2727,6.51
Cucumber,19-26,65-85,100-50-70,Ammonium Sulphate,19.61,0.1416,8.14
Strawberry,14-22,60-80,140-70-90,Compost,10.75,0.1144,7.67
Zucchini,20-28,62-82,110-55-75,Urea,17.91,0.0988,4.03
Bell Pepper,21-29,65-85,95-45-65,MOP,15.99,0.1885,5.21
Spinach,20-28,58-78,125-62-82,Vermicompost,15.3,0.2387,3.7
Cucumber,21-29,50-72,90-40-60,NPK 20-20-20,10.62,0.2364,6.85
Carrot,21-29,62-82,140-70-90,Superphosphate,16.86,0.2884,10.1
Lettuce,18-25,45-65,135-68-88,Vermicompost,26.21,0.2761,7.38
Cucumber,19-26,55-75,100-50-70,Urea,9.42,0.284,3.8
Eggplant,14-22,50-70,105-52-72,Superphosphate,28.3,0.237,6.23
Broccoli,14-22,65-85,90-40-60,NPK 20-20-20,18.67,0.2459,11.44
Eggplant,20-Dec,53-77,90-40-60,Vermicompost,23.08,0.0908,2.17
Broccoli,21-29,45-65,140-70-90,NPK 20-20-20,13.43,0.0802,2.97
Spinach,18-25,65-85,125-62-82,Ammonium Sulphate,13.14,0.0978,4.38
Carrot,19-26,45-65,140-70-90,Urea,13.58,0.0678,4.89
Spinach,20-28,45-65,95-45-65,Superphosphate,28.92,0.2447,10.35
Broccoli,21-29,50-72,125-62-82,Ammonium Sulphate,6.09,0.1175,3.76
Strawberry,15-22,62-82,120-60-80,Superphosphate,22.42,0.062,6.14
Lettuce,19-26,40-60,105-52-72,NPK 20-20-20,9.96,0.0608,7.39
Cucumber,15-22,53-77,125-62-82,DAP,26.48,0.2981,7.3
Lettuce,21-29,50-70,125-62-82,Urea,7.33,0.0625,10.39
Lettuce,18-25,50-70,110-55-75,DAP,11.47,0.0978,8.34
Zucchini,14-22,55-75,95-45-65,Ammonium Sulphate,28.4,0.2777,5.4
Carrot,15-22,50-70,105-52-72,Ammonium Sulphate,26.91,0.1094,8.04
Carrot,20-Dec,40-60,125-62-82,Superphosphate,10.82,0.1707,6.45
Tomato,16-24,58-78,90-40-60,Vermicompost,8.87,0.2655,10.05
Bell Pepper,18-25,58-78,135-68-88,NPK 20-20-20,29.49,0.1205,6.23
Bell Pepper,22-30,45-65,90-40-60,Vermicompost,8.46,0.1634,6.87
Tomato,20-Dec,65-85,125-62-82,Urea,13.15,0.0895,4.26
Spinach,20-Dec,58-78,100-50-70,Vermicompost,17.21,0.0521,3
Cucumber,19-26,50-70,100-50-70,Ammonium Sulphate,17.71,0.0875,4.27
Eggplant,20-Dec,53-77,135-68-88,MOP,28.49,0.1161,6.16
Zucchini,18-25,65-85,95-45-65,MOP,12.95,0.0647,7.58
Broccoli,19-26,45-65,110-55-75,DAP,26.47,0.1637,4.81
Strawberry,18-25,40-60,135-68-88,NPK 20-20-20,14.08,0.1346,8.57
Bell Pepper,15-22,60-80,105-52-72,Ammonium Sulphate,18.41,0.2805,6.41
Lettuce,21-29,60-80,125-62-82,Superphosphate,6.32,0.1524,11.43
Broccoli,19-26,62-82,110-55-75,NPK 20-20-20,18.78,0.0749,3.53
Strawberry,14-22,50-70,135-68-88,DAP,26.5,0.2236,10.06
Lettuce,21-29,53-77,135-68-88,Compost,12.41,0.247,7.08
Cucumber,21-29,58-78,90-40-60,Urea,20.75,0.15,2.95
Carrot,22-30,58-78,135-68-88,Vermicompost,19.77,0.1434,8.83
Lettuce,15-22,50-72,125-62-82,Superphosphate,20.88,0.1144,2.38
Cucumber,20-Dec,62-82,125-62-82,Superphosphate,5.95,0.2624,4.13
Tomato,19-26,53-77,140-70-90,NPK 20-20-20,17.61,0.1885,9.99
Broccoli,20-28,60-80,105-52-72,Superphosphate,23.34,0.2842,5.7
Carrot,16-24,62-82,140-70-90,Superphosphate,15.72,0.1286,10.5
Eggplant,18-25,55-75,100-50-70,DAP,19.2,0.0793,8.64
Eggplant,21-29,50-70,100-50-70,DAP,6.04,0.2295,5.46
Cucumber,21-29,40-60,90-40-60,Vermicompost,11.65,0.235,10.79
Bell Pepper,18-Oct,50-70,135-68-88,Ammonium Sulphate,10.12,0.2586,11.43
Zucchini,16-24,62-82,110-55-75,Vermicompost,5.92,0.2032,10.77
Lettuce,19-26,50-70,100-50-70,MOP,9.45,0.2489,10.05
Lettuce,19-26,65-85,95-45-65,Urea,7.92,0.0537,9.79
Strawberry,22-30,45-65,100-50-70,NPK 20-20-20,24.71,0.1985,5.74
Tomato,19-26,45-65,95-45-65,Superphosphate,10.16,0.194,8.05
Tomato,20-28,60-80,95-45-65,DAP,14.55,0.1081,9.61
Cucumber,18-Oct,55-75,130-65-85,DAP,11.09,0.1975,2.85
Zucchini,20-Dec,50-72,125-62-82,Ammonium Sulphate,6.8,0.2773,9.53
Cucumber,22-30,58-78,105-52-72,Superphosphate,10.48,0.2865,7.3
Carrot,21-29,45-65,135-68-88,NPK 20-20-20,25.49,0.0742,9.15
Carrot,15-22,53-77,125-62-82,NPK 20-20-20,29.38,0.1551,3.19
Spinach,18-Oct,50-72,105-52-72,Compost,13.78,0.1041,9.38
Carrot,14-22,55-75,110-55-75,Compost,8.84,0.2493,8.38
Tomato,22-30,58-78,120-60-80,Vermicompost,17.35,0.235,11.02
Eggplant,18-Oct,50-72,100-50-70,NPK 20-20-20,12.61,0.2811,9.08
Spinach,19-26,60-80,95-45-65,DAP,18.22,0.159,9.65
Tomato,20-Dec,60-80,95-45-65,MOP,21.46,0.1772,7.04
Strawberry,16-24,62-82,135-68-88,NPK 20-20-20,23.72,0.2879,4.95
Eggplant,14-22,50-70,120-60-80,MOP,15.02,0.0973,9.21
Strawberry,18-25,50-70,140-70-90,Ammonium Sulphate,15.4,0.2245,5.87
Cucumber,20-28,55-75,130-65-85,Ammonium Sulphate,5.7,0.2967,9.35
Cucumber,19-26,65-85,135-68-88,Vermicompost,24.19,0.0741,3.41
Lettuce,20-28,53-77,130-65-85,Ammonium Sulphate,20.63,0.153,5.13
Eggplant,16-24,65-85,130-65-85,Superphosphate,17.05,0.2926,6.6
Eggplant,18-25,53-77,90-40-60,Urea,10.55,0.2124,10.63
Eggplant,18-Oct,60-80,95-45-65,DAP,5.78,0.188,2.03
Spinach,22-30,60-80,120-60-80,MOP,18.89,0.2957,3.94
Spinach,20-Dec,55-75,140-70-90,Vermicompost,23.62,0.0806,3.7
Bell Pepper,14-22,58-78,110-55-75,Urea,14.69,0.2414,7.8
Spinach,15-22,40-60,120-60-80,Urea,26.64,0.2258,6.32
Lettuce,15-22,53-77,90-40-60,DAP,22.77,0.1449,3.79
Tomato,14-22,50-72,110-55-75,Vermicompost,15.22,0.2675,4.39
Tomato,16-24,50-70,90-40-60,Ammonium Sulphate,5.63,0.2,8.01
Zucchini,22-30,55-75,100-50-70,Superphosphate,7.15,0.0879,5.89
Tomato,18-Oct,45-65,125-62-82,Ammonium Sulphate,20.45,0.2947,3.41
Carrot,16-24,58-78,95-45-65,Urea,28.09,0.0769,10.26
Broccoli,16-24,50-70,120-60-80,Urea,29.11,0.2702,5.31
Zucchini,22-30,55-75,140-70-90,Vermicompost,6.2,0.1312,2.7
Spinach,22-30,40-60,125-62-82,NPK 20-20-20,28.28,0.2384,6.22
Zucchini,14-22,55-75,140-70-90,Superphosphate,10.59,0.2517,2.8
Lettuce,18-Oct,55-75,110-55-75,Compost,18.4,0.0717,11.09
Strawberry,14-22,62-82,130-65-85,MOP,15.87,0.0565,2.98
Tomato,14-22,65-85,100-50-70,Ammonium Sulphate,29.21,0.275,11.54
Lettuce,18-25,50-70,120-60-80,DAP,9.11,0.262,11.07
Broccoli,15-22,58-78,90-40-60,NPK 20-20-20,8.86,0.2842,5.3
Eggplant,20-28,60-80,95-45-65,Urea,19.92,0.1725,5.16
Eggplant,20-28,65-85,130-65-85,Compost,11.03,0.0577,9.08
Broccoli,18-25,60-80,140-70-90,Superphosphate,13.82,0.27,3.94
Tomato,14-22,58-78,140-70-90,Ammonium Sulphate,25.7,0.1358,5.06
Cucumber,15-22,40-60,130-65-85,Compost,10.38,0.2888,10.77
Lettuce,21-29,50-70,90-40-60,Urea,12.48,0.2974,2.15
Spinach,15-22,65-85,125-62-82,Vermicompost,22.61,0.1633,7.6
Cucumber,19-26,53-77,135-68-88,Superphosphate,24.56,0.0888,8.73
Carrot,14-22,62-82,105-52-72,MOP,23.88,0.0673,4.4
Cucumber,18-Oct,50-72,100-50-70,Vermicompost,25.73,0.1643,7.47
Zucchini,20-28,65-85,130-65-85,NPK 20-20-20,22.26,0.1648,6.67
Cucumber,19-26,40-60,105-52-72,Urea,22.15,0.1021,3.07
Zucchini,15-22,62-82,90-40-60,Ammonium Sulphate,15.96,0.0829,11.42
Spinach,21-29,60-80,130-65-85,Vermicompost,28.51,0.1199,3.23
Broccoli,20-28,58-78,140-70-90,MOP,21.31,0.2798,6.28
Cucumber,19-26,40-60,135-68-88,NPK 20-20-20,5.03,0.0757,11.85
Eggplant,22-30,60-80,120-60-80,Vermicompost,26.86,0.1973,6.26
Zucchini,22-30,55-75,135-68-88,Ammonium Sulphate,15.24,0.2027,10.07
Broccoli,20-28,40-60,90-40-60,MOP,15.62,0.1119,10.56
Carrot,20-Dec,60-80,130-65-85,Compost,25.8,0.1621,4.83
Spinach,14-22,62-82,95-45-65,Urea,20.17,0.2788,11.59
Zucchini,20-28,65-85,90-40-60,Urea,15.88,0.1229,10.8
Carrot,19-26,50-70,90-40-60,Compost,6.06,0.2386,6.44
Strawberry,14-22,65-85,90-40-60,Compost,25.86,0.1813,4.19
Bell Pepper,15-22,50-70,105-52-72,Urea,14.19,0.116,4.9
Zucchini,16-24,45-65,110-55-75,Ammonium Sulphate,10.86,0.2676,6.06
Spinach,18-Oct,40-60,95-45-65,Compost,23.59,0.2774,8.09
Strawberry,15-22,62-82,140-70-90,Compost,27.42,0.2633,7.74
Zucchini,20-28,65-85,105-52-72,MOP,7.78,0.1122,7.97
Eggplant,15-22,65-85,90-40-60,MOP,5.36,0.0814,8.93
Carrot,20-28,65-85,110-55-75,NPK 20-20-20,22.67,0.2229,10.8
Cucumber,16-24,62-82,130-65-85,Ammonium Sulphate,11.66,0.1239,4.74
Cucumber,15-22,55-75,120-60-80,Vermicompost,24.3,0.1176,7.42
Carrot,20-Dec,60-80,125-62-82,MOP,18.45,0.2999,8.14
Zucchini,19-26,62-82,90-40-60,Ammonium Sulphate,9.98,0.2225,2.75
Eggplant,22-30,50-70,130-65-85,Ammonium Sulphate,23.7,0.2684,10.29
Lettuce,14-22,40-60,90-40-60,Ammonium Sulphate,9.2,0.2502,6.33
Broccoli,15-22,55-75,130-65-85,Superphosphate,18.39,0.2224,3.18
Zucchini,16-24,45-65,135-68-88,MOP,21.83,0.1143,6.59
Tomato,18-25,62-82,140-70-90,DAP,20.7,0.1227,5.92
Tomato,16-24,45-65,130-65-85,Urea,29.86,0.2184,8.43
Eggplant,15-22,65-85,130-65-85,NPK 20-20-20,11.35,0.1625,4.01
Bell Pepper,18-25,62-82,90-40-60,DAP,27.63,0.2704,5.66
